ISBN,Book-Title,Book-Author,Genre
038572053X,Out of the Girls' Room and into the Night,Thisbe Nissen,
0679741852,The Divine Sarah: A Life of Sarah Bernhardt,Arthur Gold,
0679640258,them (Modern Library),JOYCE CAROL OATES,
0440158079,The Moonshine War,Elmore Leonard,
034543787X,The Case of the Mythical Monkeys (Perry Mason Mysteries (Fawcett Books)),Erle Stanley Gardner,
0679428461,Model Behavior: A Novel and 7 Stories,Jay McInerney,
0020518307,The Snows of Kilimanjaro and Other Stories (A Scribner classic),Ernest Hemingway,
0738840459,BUZZ,Carrie Lieber,
0879977086,The Werewolf Principle,Clifford Simak,
0517887800,How to Decorate: The Best of Martha Stewart Living (Best of Martha Stewart Living),Martha Stewart,
0694004162,If You Give a Mouse a Cookie/Mini Book and Mouse Doll,Laura Joffe Numeroff,
0425157172,Sleeping Alone,Barbara Bretton,
0865470014,The Geography of the Imagination: Forty Essays (Geography of the Imagination Ppr),Guy Davenport,
8423324125,El Hombre Que Quiso Ser Rey.Al Final Del Cami,Rudyard Kipling,
0571058086,Waiting for Godot,Samuel Beckett,
846630665X,"Las Cenizas De Angela (Punto De Lectura, 331)",Frank McCourt,
0151400032,Henry and June: From the Unexpurgated Diary of Anais Nin,Anais Nin,
0064472256,The Adventures of Blue Avenger,Norma Howe,
0671004441,The Alchemy of Love and Lust: How Our Sex Hormones Influence Our Relationships,Theresa L. Crenshaw,
1885664001,Providence: The Story of a Fifty Year Vision Quest,Daniel Quinn,
076455381X,Retail Business Kit for Dummies,Rick  Segel,
0767904508,The Book of the Courtesans: A Catalogue of Their Virtues,Susan Griffin,
0448060299,The Secret Garden (Illustrated Junior Library),Frances Hodgson Burnett,
0345329066,Follow the Sharks: A Brady Coyne Mystery,William G. Tapply,
0679783202,The Red Badge of Courage: An Episode of the American Civil War & the Veteran (Modern Library Paperback Classics),Stephen Crane,
0671038672,"Lights Out : Sleep, Sugar, and Survival",T. S. Wiley,
8807015935,Canti del Caos,Antonio Moresco,
2070416917,Pandore et l'ouvre-boÃ?Â®te,Postel & DuchÃ?Â¢tel,
8433920170,Desayuno En Tiffany's,Truman Capote,
0553342533,In Search of Schrodinger's Cat: Quantum Physics And Reality,John Gribbin,
0345442636,The Silent Gondoliers: A Fable,William Goldman,
0812551087,Horror Show,Greg Kihn,
0571199968,The Monster Show: A Cultural History of Horror; Revised Edition with a New Afterword,David J. Skal,
0679789758,No. 1 Ladies' Detective Agency Boxed Set,ALEXANDER MCCALL SMITH,
0743456424,Kevyn Aucoin: A Beautiful Life,Kerry Diamond,
0380722534,Punch With Judy (An Avon Flare Book),Avi,
0316735655,"Live From New York: An Uncensored History of Saturday Night Live, as Told By Its Stars, Writers and Guests",James A. Miller,
1880418568,"Wolves of the Calla (The Dark Tower, Book 5)",Stephen King,
0375758755,No Way to Treat a First Lady : A Novel,CHRISTOPHER BUCKLEY,
0786014806,The Summoning,Bentley Little,
0743411412,Safe House,Jenny Carroll,
0743411420,Sanctuary,Jenny Carroll,
0743411404,Code Name Cassandra,Jenny Carroll,
0743411390,When Lightning Strikes,Jenny Carroll,
0440235200,Occasion of Revenge,Marcia Talley,
0440235170,Sing It to Her Bones: A Hannah Ives Mystery (Hannah Ives Mysteries),Marcia Talley,
0743455827,Body of Evidence (Csi),Max Allan Collins,
0743444078,CSI: Cold Burn,Max Allan Collins,
0425147193,A Stiff Critique,Jaqueline Girdner,
0451205812,The Ferryman,Christopher Golden,
0571203086,Red Earth and Pouring Rain,Vikram Chandra,
0552144789,Automated Alice,Jeff Noon,
0892963603,The Good Policeman,Jerome Charyn,
0821737767,The Trouble With Too Much Sun,Trella Crespi,
0399131876,Outbreak,Robin Cook,
0397013620,The Green Ripper,John D. MacDonald,
0312682352,Right to Sing the Blues,John Lutz,
0030069580,Tropical Heat (A Rinehart suspense novel),John Lutz,
0345292901,The Mugger,Ed McBain,
0449221008,The Tiger's Daughter,Bharati Mukherjee,
1574230972,A Bar in Brooklyn: Novellas & Stories 1970-1978,Andrei Codrescu,
0609802127,True Work : Doing What You Love and Loving What You Do,MICHAEL TOMS,
9700509222,Terreno peligroso,Jack Higgins,
1550741136,The Science Book for Girls: And Other Intelligent Beings,Valerie Wyatt,
0671734083,A Prince in Camelot,Courtway Jones,
067103992X,Wicked Forest (Debeers),V.C. Andrews,
0380978865,A Winter Haunting,Dan Simmons,
1567407617,Homeport (Nova Audio Books),Nora Roberts,
0786861096,Tropical Depression,Laurence Shames,
3548224318,Im Westen Nichts Neues,Remarque,
0345377834,With Friends Like These...: An Amanda Pepper Mystery (Amanda Pepper Mysteries (Hardcover)),Gillian Roberts,
0020130902,The Art of Questioning : Thirty Maxims of Cross-Examination,Peter Megargee  Brown,
0345396359,"Better Than Sex: Confessions of a Political Junkie (Gonzo Papers, Vol 4)",Hunter S. Thompson,
1565844424,Pig Tales: A Novel of Lust and Transformation (New Press International Fiction),Marie Darrieussecq,
0563214546,Delia Smith's Complete Illustrated Cookery Course,Delia Smith,
0679762906,Being Digital,Nicholas Negroponte,
1898660093,Surf UK,Carwyn Williams,
1898573239,Mountaineering in Scotland: Undiscovered Scotland,W.H. Murray,
0786707941,A House in Sicily,Daphne Phelps,
156389663X,Astro City: Tarnished Angel,Kurt Busiek,
022401594X,Invade my privacy,Fran Landesman,
0140060065,Other People,Martin Amis,
0876855540,"Wait Until Spring, Bandini",John Fante,
0862418399,Ask the Dust,John Fante,
0860517675,The Ringside Book of Boxing,O.F. Snelling,
0340564628,Tintin: A Biography,Harry Thompson,
0446391174,Adventures in the Screen Trade,William Goldman,
015602781X,Pincher Martin: The Two Deaths of Christopher Martin,William Golding,
061814336X,Simon Silber: Works for Solo Piano,Christopher Miller,
037572737X,American Tabloid,James Ellroy,
1842120646,Diaries,Alan Clark,
0571214940,A Brief Stay with the Living,Marie Darrieussecq,
019283620X,The Good Soldier: A Tale of Passion (Oxford World's Classics),Ford Madox Ford,
0156260557,Difficult Loves,Italo Calvino,
0684838737,DEEPER : ADVENTURES ON THE NET,John Seabrook,
0898156122,Why Cats Paint: A Theory of Feline Aesthetics,Heather Busch,
0671865277,Classic Crews : A Harry Crews Reader,Harry Crews,
0330375458,Them,Jon Ronson,
0967059844,The Well-Fed Writer: Financial Self-Sufficiency As a Freelance Writer in Six Months or Less,Peter Bowerman,
0802713750,Lusitania: An Epic Tragedy,Diana Preston,
067163576X,MR SCOTT GD ENTEPRS (Star Trek),Claire M. Johnson,
2742713395,Un objet de beautÃ?Â©,Michel Tremblay,
0380791366,Legwork (Casey Jones Mysteries),Katy Munger,
0671318616,Pandora's Legions,Christopher Anvil,
0805054758,The Pope's Rhinoceros,Lawrence Norfolk,
0671826794,EYES OF SARSIS (Their War of the Wizards Trilogy; PT.2),Andrew J. Offut,
0879977892,The Warrior Enchained,Sharon Green,
2253055751,Syncopes,Robin Cook,
8408044591,Sabotaje Olimpico,Manuel Vazquez Montalban,
8433967401,Intercambios,David Lodge,
0590449001,Veronica Knows Best,Nancy K. Robinson,
0771597185,The teacher's daughter,Richard Bruce Wright,
0789301016,Kate : The Kate Moss Book,Kate Moss,
0060391677,Miss America,Howard Stern,
0671880160,PRIVATE PARTS,Howard Stern,
1857989988,Non-stop (Millennium SF Masterworks S),Brian Aldiss,
0671875205,Touch the Wind,Janet Dailey,
0061095435,Flower Net,Lisa See,
0451409310,Unbreak My Heart,Teresa Hill,
080410722X,Seals: Udt/Seal Operations in Vietnam,T.L. Bosiljevac,
0425097471,Spy Wednesday,William Hood,
8838917299,L'odore Della Notte,Andrea Camilleri,
0151009015,Sepharad,Antonio Munox Molina,
0865547912,Generations: Stories,George Strange,
0345328973,Question of Max (Kate Fansler Novels (Paperback)),Amanda Cross,
0140104801,No Full Stops in India,Mark Tully,
0393311910,Next: Young American Writers on the New Generation,Eric Liu,
0689843240,The Great Good Thing,Roderick Townley,
0312241224,Birds of America : Stories,Lorrie Moore,
0805055398,The Priest Fainted: A Novel,Catherine Temma Davidson,
1584652136,The Old American (Hardscrabble Books),Ernest Hebert,
0679847154,The Broken Bridge,PHILIP PULLMAN,
158579015X,No Bed for Bacon (Common Reader Editions),Caryl Brahms,
0929587782,Ape and Essence,Aldous Huxley,
0802138845,Crawling at Night,Nani Power,
0970335539,The Pharmacist's Mate,Amy Fusselman,
0802116388,Goodbye Tsugumi,Banana Yoshimoto,
0156927942,Under the Jaguar Sun,Italo Calvino,
0571202039,Uncle Petros and Goldbach's Conjecture,Apostolos Doxiadis,
0451112601,Brain,Robin Cook,
0821218263,French Country Living: A Year in Gascony,Deborah Roberts,
8420731013,El Secreto de Gabriela,Jose Luis Olaizola,
8430571574,Ben El Contrabandista - Enid Blyton,Enid Blyton,
8431006595,Los Hollister y el Misterio del Caballo Fantasma (The Happy Hollisters),Jerry West,
840147468X,Rabia,Stephen King,
2090319801,Lectures CLE En Francais Facile - Level 2: Robin Des Bois,Dumas,
0521656214,Death in the Dojo: Level 5,Sue Leather,
2011550785,Vingt Mille Lieues Sous Les Mers,Jules Verne,
2010203194,Les Aventures D'Arsene Lupin,Maurice Leblanc,
8476281072,El Menu de Cada Dia,Karlos Arguinano,
847600060X,La Metamorfosis,Franz Kafka,
8437700191,Tatuaje (CÃ­rculo negro ; 4),Manuel VÃ¡zquez MontalbÃ¡n,
8420634263,Frankenstein O El Moderno Prometeo,Mary W. Shelley,
8423307379,Rebelion en la Granja,George Orwell,
8420603708,La Vida Es Un Sueno,Pedro Calderon de La Barca,
840100926X,Mujercitas,Louisa May Alcott,
8401327431,UN Saco De Huesos,Stephen King,
8437605229,El Arbol De LA Ciencia (Letras hispÃ¡nicas),Baroja,
8437605989,Leyendas (Letras Hispanicas),Gustavo Adolfo Becquer,
8437601142,Poema Del Canto Jondo-Romancero Gitano,Federico Garcialorca,
8437612241,Poesia Inedita de Juventud,Federico GarcÃ­a Lorca,
0618260242,The Lord of the Rings (Movie Art Cover),J. R. R. Tolkien,
0451185633,The Waterworks,E.L. Doctorow,
0449144410,Free Fall In Crimson,John Macdonald,
1557732175,Quiller KGB,Adam Hall,
0380708140,Quiller Barracuda,Adam Hall,
0440214947,Prime Suspect,Lynda Laplante,
0446356050,Promises to Keep,George Bernau,
0804109176,And the Sea Will Tell,Vincent Bugliosi,
0345359860,Murder by Masquerade,D.R. Meredith,
0140113827,Murder at the Gardner : A Novel of Suspense: A Homer Kelly Mystery (Penguin Crime Monthly),Jane Langton,
0553273639,The Riddle of the Third Mile,COLIN DEXTER,
0380009536,Survivor,Marc Brandel,
0553265032,The Blind Run,Brian Freemantle,
0061042552,Portrait in Smoke/the Tooth and the Nail/2 Mysteries in 1 Book,Bill S. Ballinger,
3442430305,Der Spekulant.,Michael Ridpath,
0553576984,"The Shadow Warriors: A Novel of Unionist Resistance in Tennessee and North Carolina, September 1860-January 1863 (Mountain War, No 1)",Cameron Judd,
0130274917,The American History Sourcebook,Joel Makower,
0671746391,The New State of the World Atlas,Michael Kidron,
0306762013,Antonin Dvorak Letters and Reminiscences (Da Capo Press Music Reprint Series),Antonin Dvorak,
0870114573,Catch and Other Stories.,Kenzaburo Oe,
0310912342,"KJV Holy Bible Reference, Gold Edition",Not Applicable (Na ),
0844226866,Teach Yourself Beginner's Japanese Script,Helen Gilhooly,
0764103202,Japanese at a Glance: Phrase Book and Dictionary for Travelers,Nobuo Akiyama,
0743411633,Gilead's Blood (Warhammer Novels (Paperback)),Dan Abnett,
0380705354,Transformation: The Breakthrough,Whitley Strieber,
0786913657,Silverfall: Stories of the Seven Sisters (Forgotten Realms),Ed Greenwood,
0786927046,"The Wizardwar (Forgotten Realms: Counselors & Kings, Book 3)",Elaine Cunningham,
0786918187,"The Floodgate (Forgotten Realms: Counselors & Kings, Book 2)",Elaine Cunningham,
0786915617,"The Magehound (Forgotten Realms: Counselors & Kings, Book 1)",Elaine Cunningham,
0553213024,Othello (Bantam Classics),William Shakespeare,
0774712694,Romeo and Juliet,Ken Roy,
0719030870,Physiology for Sportspeople: A Serious User's Guide to the Body,Peter G. Bursztyn,
8408040391,Mientras Vivimos,Maruja Torres,
3770402774,"Lucky Luke, Bd.66, Eine Woche Wilder Westen",Rene. Goscinny,
3770401697,"Lucky Luke, Bd.58, Die Geister-Ranch und andere Storys",Michel Janvier,
3770401654,"Lucky Luke, Bd.54, Die Daltons und der Psycho-Doc",Morris,
3122060507,"Arbeitshefte Kunst fÃ?Â¼r die Sekundarstufe I, Perspektive",Ulrich Hamm,
3893313176,Wahlen in der Bundesrepublik Deutschland,Karl-Rudolf Korte,
3499146142,FÃ?Â¼nf falsche FÃ?Â¤hrten. ( The Five Red Herrings),Dorothy L. Sayers,
3805202881,Winter-Wanderschaft: Mit 2 Essays Ã¼ber Karl Baedeker u. Ferdinand Gregorovius,Rolf Vollmann,
3150006309,Konig Odipus,Sophokles,
3150087627,Das Schiff Esperanza,Fred von Hoerschelmann,
3150069009,Das Gold Von Caxamalca,Jakob Wasserman,
3150000629,Konig Richard Der Dritte,William Shakespeare,
3150000831,Iphigenie Auf Tauris,Goethe,
3404602927,Wie Deutsch sind die Deutschen?: Eine Nation wandelt ihr Gesicht (Bastei-LÃ¼bbe-Taschenbuch),Erwin K Scheuch,
3893312676,Familienpolitik: Grundlagen und aktuelle Probleme (Schriftenreihe),Max Wingen,
3499501651,Wilhelm Raabe. Mit Selbstzeugnissen und Bilddokumenten.,Hans Oppermann,
3596130999,Choral am Ende der Reise.,Erik Fosnes Hansen,
3596238528,Erinnern und Durcharbeiten: Zur Geschichte der Psychoanalyse und Psychotherapie im Nationalsozialismus,Regine Lockot,
3150004632,Der Diener Zweier Herren,Carlo Goldoni,
3150000475,Die Jungfrau Von Orleans,Schiller,
3150000386,Don Carlos,Schiller,
3150000920,Turandot,F. Schiller,
3150000416,Wallensteins Lager / Die Piccolomini,Schiller,
3150000424,Wallensteins Tod,Schiller,
3150000122,Wilhelm Tell,Friedrich Schiller,
3150085772,Unterm Birnbaum,Fontane,
315009755X,Ein Sommernachtstraum / A Midsummer Night's Dream.,William Shakespeare,
3442123852,Von links nach rechts: Rechtsradikale AktivitÃ¤ten in den neuen BundeslÃ¤ndern,Kurt Hirsch,
3499182718,"Rechte Kerle: Skinheads, Faschos, Hooligans (Rororo Mann)",Burkhard SchrÃ¶der,
359623915X,Edvard Munch: Das kranke Kind : Arbeit an der Erinnerung (KunststÃ¼ck),Uwe M Schneede,
0194314219,Oxford Advanced Learner's Dictionary of Current English,A. S. Hornby,
3550079753,Weltgeschichte in einem Griff: Von der Urzeit bis zur Gegenwart,Kurt M Jung,
325701404X,Kinder fÃ?Â¼r AnfÃ?Â¤nger.,Reinhart Lempp,
3596128862,Abschied von der Macht,Farah Dustdar,
3257019637,Sehr verehrte Damen und Herren--: Reden und Ã?hnliches,Loriot,
0004127382,The East India Company Book of Tea,Antony Wild,
3499426846,Durch das Tor zum Himmlischen Frieden.,Ruth Rendell,
359612669X,Ich.,Wolfgang Hilbig,
3407783906,Die zerbrochene FlÃ?Â¶te,Maj Bylock,
9025465293,EÃ©n keer over,Hannes Meinkema,
0385314450,The Architect of Desire: Beauty and Danger in the Stanford White Family,Suzannah Lessard,
055337849x,The Brothers K,David James Duncan,
0874063108,My Secret Boyfriend,Lurlene McAniel,
0688221955,Ramona and Her Mother (Ramona Quimby (Hardcover)),Beverly Cleary,
0689117701,New Jersey,Joseph Monninger,
0394552725,The Progress of Love,Alice Munro,
0027197107,The Cat Who Went to Heaven,Elizabeth Coatsworth,
0061093599,Crimson Green: A Quinn Parker Novel of Suspense,Bruce Zimmerman,
0451197739,Dr. Nightingale Traps the Missing Lynx (Deirdre Quinee Nightingale Mystery Series),Lydia Adamson,
0451188136,Dr. Nightingale Rides to the Hounds (Deirdre Quinn Nightingale Mystery),Lydia Adamson,
055358328X,Crack Shot,Sinclair Browning,
0449212742,Whip Hand,Dick Francis,
0515125512,Odds Against,Dick Francis,
0446517410,The 10 Natural Laws of Successful Time and Life Management: Proven Strategies for Increased Productivity and Inner Peace,Hyrum W. Smith,
0965664791,By the Light of My Fathers Smile,Alice Walker,
0553802097,A Kiss to Remember,Teresa Medeiros,
0679822410,"The Little Mermaid (Step into Reading, Step 4)",Deborah Hautzig,
0689854609,Wendy's Big Game,Diane Redmond,
0307626458,Beauty and the Beast (Golden Look-Look Books (Hardcover)),Michael Teitelbaum,
0307628817,Walt Disney's Sleeping Beauty (Golden Look-Look Book),Mary J. Fulton,
0689824432,Magenta's Visit (Blue's Clues),Alice Wilder,
0307127923,Disney's The Lion King (A Golden Look-Look Book),M. Hover,
0375802819,Thomas's Railway Word Book (Thomas the Tank Engine & Friends (Paperback)),Paul Nichols,
0679894780,Thomas the Tank Engine's Big Blue Treasury (Thomas the Tank Engines & Friends Series),Christopher Awdry,
1577591062,Daniel and the Lion's Den,Cheryl Mendenhall,
0307140148,"The Pumpkin Book: Select a Pumpkin, Decorate a Pumpkin, Bake a Pumpkin Pie, Toast Pumpkin Seeds, Grow a Pumpkin/",Jim Becker,
0679856994,New Tracks for Thomas (Pictureback Shapes),GAIL HERMAN,
0590762648,"Boom! Zoom! (Hello Reader!, Phonics Fun. Sci-Fi Phonics)",Judith Bauer Stamper,
0689843917,Wendy Helps Out (Bob The Builder),Alison Inches,
0307988643,Barbie: The Jewel Thief (Reporter Series),Barbara Bazaldua,
0064408949,To the Frontier (The Adventures of Young Buffalo Bill),E. Cody Kimmel,
087579159X,Under the Same Stars,Dean Hughes,
0140501711,Make Way for Ducklings (Picture Puffins),Robert McCloskey,
0590475002,Wake Me in Spring (Hello Reader Level 2),James Preller,
0671867660,Boo to You Too!,Elizabeth Rodger,
1558584099,Meet the Molesons (An Easy-to-Read Book),Burny Bos,
043913224X,The Lucky Pocket Reference Book,Karen Hudson,
0694013188,Peter Pan (Book and Charm),J. M. Barrie,
0531071804,Jane on Her Own: A Catwings Tale (Catwings (Paperback)),Ursula K. Le Guin,
0439139414,Darth Maul (Star Wars: Episode I Journal (Paperback)),Jude Watson,
0312130287,Bird in a Cage: A Deb Ralston Mystery (Detective Deb Ralston),Lee Martin,
3492042627,Die Glut.,Sandor Marai,
3484370076,Massenkommunikationstheorien (Medien in Forschung + Unterricht),Gerhard Maletzke,
3423243562,Drei Tage dreiÃ?Â?ig.,Henrike WÃ?Â¶bking,
3499506106,Johannes Gutenberg.,Stephan FÃ?Â¼ssel,
3499135507,Die Versteigerung von No. 49.,Thomas Pynchon,
3257060718,Der TagtrÃ?Â¤umer.,Ian McEwan,
3810505218,Das Haus der sieben Schwestern.,Elle Eggels,
3630870902,Die Ungenaue Lage Des Paradieses: Eine Reise Zu Verlorenen Stadten,Peter Haff,
3546002385,Das Buch der Liebe.,Nomi Eve,
3453191439,Die Seele meines Vaters. Minik - Der Eskimo von New York.,Kenn Harper,
0140278702,Lucky Jim (Essential.penguin S.),Kingsley Amis,
3442449715,Falscher Zauber.,Carol OConnell,
3442355915,Das Totenhaus.,Linda Fairstein,
3548256090,Die Schattenfrau.,Ake Edwardson,
3453860446,Die James Bond Filme (Heyne Filmbibliothek),Erich Kocian,
0312957238,The Encyclopedia of Movie Awards,Michael Gebert,
0786883480,Scream : A Screenplay,Kevin Williamson,
0786885211,The Talented Mr. Ripley : A Screenplay,Anthony Minghella,
0786882212,Trainspotting,John Hodge,
3453148533,Mein Kino. Die 100 schÃ?Â¶nsten Filme.,Hellmuth Karasek,
0306809044,Skywalking: The Life and Films of George Lucas,Dale Pollock,
3453861418,"Mr. Hitchcock, wie haben Sie das gemacht?",Francois Truffaut,
0713477539,Quinlan's Film Directors,David Quinlan,
0306807718,The Name Above the Title: An Autobiography,Frank Capra,
0671682407,American Quest,Jack Barth,
0486226956,Old-Time Herbs for Northern Gardens.,Minnie Watson Kamm,
0486223086,A Garden of Herbs,Eleanour Sinclair Rohde,
0486240266,"Spices and Herbs, Lore and Cookery",Elizabeth S. Hayes,
0553119850,Town,Conrad Richter,
0923000003,Soviet Passage,Jon H. Gates,
0743255429,The Hornet's Nest: A Novel of the Revolutionary War,Jimmy Carter,
0689822294,Heaven (Coretta Scott King Author Award Winner),Angela Johnson,
0553571001,Christmas With Anne and Other Holiday Stories: And Other Holiday Stories,L. M. Montgomery,
0373031300,"Father'S Day (Harlequin Romance, No 3130)",Debbie MacOmber,
0345284259,Dragonquest Achille Cover,Anne Mccaffrey,
0004703723,Dictionary Of Economics-2Nd Ed,Christopher Pass,
0631189629,British Social Policy Since 1945 (Making Contemporary Britain),Howard Glennerster,
0140136908,History of Economic Thought (Penguin Economics),William J. Barber,
0273030140,Economics: A Student's Workbook,John Beardshaw,
0136053955,Multinational Finance,Adrian Buckley,
0582297087,Macroeconomic analysis: An intermediate text (Longman economics series),David P Cobham,
0140371125,Little Women (Puffin Classics),Louisa M. Alcott,
185326010X,Twelfth Night (Wordsworth Classics),William Shakespeare,
0704311402,All the President's Men,Bob Woodward,
0747205051,Murderous Women: True Talesof W,Frank Jones,
0747264953,The Moon,David Whitehouse,
0736901914,Life Management for Busy Women: Living Out God's Plan With Passion and Purpose,Elizabeth George,
0786702737,Marling Hall: A Barsetshire Novel,Angela Thirkell,
0671883917,VERA,Elizabeth Von arnim,
0758208022,The Royal Treatment,Maryjanice Davidson,
0060977027,The New Girls,Beth Gutcheon,
0312324766,"The Men We Became : My Friendship with John F. Kennedy, Jr.",Robert T. Littell,
1576738264,Pascal's Wager,Nancy Rue,
0060188707,Don Quixote,Miguel de Cervantes,
0452267943,Bellefleur,Joyce Carol Oates,
0802141358,The Mammoth Cheese,Sheri Holman,
0140282653,Jacob's Ladder: A Story of Virginia During the War,Donald McCaig,
0312280696,The Year of Jubilo : A Novel of the Civil War,Howard Bahr,
0671516949,A MARRIAGE MADE AT WOODSTOCK,Cathie Pelletier,
067179387X,The WEIGHT OF WINTER,Cathie Pelletier,
0671724479,ONCE UPON A TIME ON THE BANKS : ONCE UPON A TIME ON THE BANKS,Cathie Pelletier,
0684849720,The Quilter's Apprentice : A Novel,Jennifer Chiaverini,
0671883925,LOVE (Virago Modern Classics),Elizabeth Von arnim,
039914854X,Sacrament of Lies,Elizabeth Dewberry,
0684843129,TWO GIRLS FAT AND THIN,Mary Gaitskill,
0316196452,Talking to the Dead : A Novel Tag: Winner of the Orange Prize,Helen Dunmore,
0786707429,The Crimes of Charlotte Bronte: The Secrets of a Mysterious Family : A Novel,James Tully,
0865055041,Kitchen (Historic Communities (Paperback)),Bobbie Kalman,
086505505X,Home Crafts (Historic Communities (Paperback)),Bobbie Kalman,
1564407284,"The Old Sturbridge Village Cookbook, 2nd : Authentic Early American Recipes for the Modern Kitchen",Caroline Sloat,
0525942327,Man Crazy: A Novel,Joyce Carol Oates,
1888173408,Fairy Tale (Common Reader Editions),Alice Thomas Ellis,
0140289526,The Late Mr Shakespeare,Robert Nye,
0425188442,Deceit,Clare Francis,
1888173572,Haunted Bookshop (Common Reader Editions),Christopher Morley,
1573221562,Affinity,Sarah Waters,
0060934905,Middle Age: A Romance,Joyce Carol Oates,
0844258199,The Writers Mind: Crafting Fiction,Richard Cohen,
0743257502,The Glory Cloak : A Novel of Louisa May Alcott and Clara Barton,Patricia O'Brien,
1402201435,The One True Ocean,Sarah Beth Martin,
1582343594,City of Masks : A Cree Black Novel,Daniel Hecht,
0393324834,The Hazards of Good Breeding: A Novel,Jessica Shattuck,
1400075734,Taking Lives,MICHAEL PYE,
0803727356,The River Between Us,Richard Peck,
0152025634,Boots and the Seven Leaguers: A Rock-and-Troll Novel,Jane Yolen,
0316095575,The Evidence Against Her: A Novel,Robb Forman Dew,
038572117X,In a Dark Wood: A Novel,Amanda Craig,
0349113424,Heat,Sally Emerson,
0151007349,His Mother's Son,Cai Emmons,
0670880973,Cordelia Underwood: Or the Marvelous Beginnings of the Moosepath League,Van Reid,
089587167X,Something Blue,Jean Christopher Spaugh,
0812881311,Streets of Gold,Evan Hunter,
0316341118,Forever: A Novel,Pete Hamill,
014006284X,Portrait of the Artist as a Young Man,James Joyce,
0030491266,Poetry of Robert Frost,Robert Frost,
1931333246,Chorus,Kurt Messick,
0452266068,"Use Your Perfect Memory: Dramatic New Techniques for Improving Your Memory, Based on the Latest Discoveries About the Human Brain",Tony Buzan,
0764504444,Access 2000 for Windows for Dummies,John  Kaufeld,
0609806491,The Zen of Proposal Writing: An Expert's Stress-Free Path to Winning Proposals,Kitta Reeds,
0140290788,Time Out Chicago (Time Out Chicago),Time Out,
0395798671,Personality Types : Using the Enneagram for Self-Discovery,Don Richard Riso,
0316185922,The River Cafe Wine Primer,Joseph Delissio,
0312858531,"People of the Silence (The First North Americans Series, Book 8)",Kathleen O'Neal Gear,
0671563149,MUDDY WATER (Peter Bartholomew Mysteries),Sally Gunning,
0671015591,Tiger's Palette (Caroline Canfield Mysteries),Jacqueline Fiedler,
0425156737,Graven Images,Jane Waterhouse,
0312242026,Hot Night in the City,Trevanian,
1575660792,Gray Matter,Shirley Kennett,
0684804484,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,Doris Kearns Goodwin,
0786011157,Act of Betrayal,Morgan Avery,
0892966548,Killer Market: A Deborah Knott Mystery (Deborah Knott Mysteries (Hardcover)),Margaret Maron,
0345365763,Macpherson's Lament: An Elizabeth Macpherson Mystery,Sharyn McCrumb,
0679407111,"Thinking Out Loud: On the Personal, the Political, the Public and the Private",Anna Quindlen,
0684838672,The LANGUAGE OF NAMES : WHAT WE CALL OURSELVES AND WHY IT MATTERS,Justin Kaplan,
0312264186,You Can't Catch Death: A Daughter's Memoir,Ianthe Brautigan,
0767902416,Managing Martians,DONNA SHIRLEY,
0380790572,Jupiter Project,Gregory Benford,
038073107X,Dead Man's Float (Jersey Shore Mysteries),Beth Sherman,
0380792885,Gator Aide (Rachel Porter Mysteries),Jessica Speart,
0425150526,Death Crosses the Border,Janice Steinberg,
0373262485,Death And Faxes,Leslie O'Kane,
0679754881,Nothin' but Good Times Ahead,Molly Ivins,
0440235243,Homicide and Old Lace: A Mandy Dyer Mystery (Mandy Dyer Mystery),Dolores Johnson,
038079201X,Death of a Winter Shaker,Deborah Woodworth,
1580600506,The Fallen Man,Tony Hillerman,
0671568388,To Storm Heaven (Star Trek: The Next Generation),Lois Tilton,
0671003550,1 RAGGED RIDGE ROAD,Leonard Foglia,
068810553X,False Prophet (With Free Paperback of the Ritual Bath),Faye Kellerman,
0688105548,Grievous Sin: A Peter Decker/Rina Lazarus Mystery (Peter Decker & Rina Lazarus Novels (Hardcover)),Faye Kellerman,
0553073923,Southern Ghost,Carolyn G. Hart,
0385471092,Mrs. Pollifax and the Second Thief,Dorothy Gilman,
0345382315,The PMS Outlaws: An Elizabeth Macpherson Novel (Elizabeth MacPherson Novels (Hardcover)),Sharyn McCrumb,
0060164220,Coyote Waits,Tony Hillerman,
0394748646,Work Is Hell,Matt Groening,
0399140204,Thin Air,Robert B. Parker,
0553092057,Devil's Waltz (Alex Delaware Novels (Hardcover)),Jonathan Kellerman,
0060168307,Sacred Clowns,Tony Hillerman,
0345377818,I'd Rather Be in Philadelphia: An Amanda Pepper Mystery,Gillian Roberts,
0517145553,Mostly Harmless,Douglas Adams,
0449907422,Jazz Funeral: A Skip Langdon Novel,Julie Smith,
0553088467,Femmes Fatal,Dorothy Cannell,
0688033628,Thursday the Rabbi Walked Out,Harry Kemelman,
0553074946,How to Murder the Man of Your Dreams,Dorothy Cannell,
0688085105,The Beauty Myth: How Images of Female Beauty Are Used Against Women,Naomi Wolf,
0385423616,Caravan,Dorothy Gilman,
0788192043,The Hundred Secret Senses,Amy Tan,
0399138315,Son of Fletch,Gregory McDonald,
0312970188,The Astronaut's Wife,Robert Tine,
0590581066,Triplet Trouble and the Red Heart Race (Triplet Trouble),Debbie Dadey,
