ISBN,Shard
006098824X,G
0812561880,T
0451203569,D
0688111882,A
0060505885,T
0679401385,M
0440213886,E
0515116068,H
0679419691,D
0743244710,W
0425044890,A
0140436669,T
0394742494,S
0670862215,D
0670847100,T
0586068805,G
0553259016,S
0670818577,W
0060910992,B
0060955716,W
0394462017,W
0811812693,G
0393322203,A
0030622093,A
0380404109,J
0060806419,H
158080036X,P
038517652X,T
0671541900,A
0312926294,T
1585790087,A
0060805943,J
0425089002,P
0345312791,T
0394473361,T
0689107943,T
0312532253,T
0448416492,I
0807554146,T
0525483357,W
044048605X,T
0399234616,T
0679879242,T
0425057771,P
088776519X,R
0451203054,P
0451184734,B
0316779989,H
0671568183,T
0446603716,H
0380726289,D
0440193613,W
0679764895,M
0743418166,G
0440235774,L
0061094404,P
0515133418,S
0743460529,D
0140386335,T
0373288891,B
0373825013,W
0373825021,T
0449148408,F
0312957920,S
0345359321,T
0345377672,B
0743216024,E
2890379302,L
0140131612,L
0741410060,W
0521315441,P
0741404540,W
0446609951,T
0451157443,C
1560300027,R
0452275660,T
0060175680,S
0671867083,R
0446605360,T
0671741209,S
0380790025,D
0671880314,S
038550120X,A
0670860743,B
0451209486,K
0446513067,T
0312242220,M
0671665499,L
0789426323,T
0789202816,M
0688172253,I
0891091165,C
0310918421,N
0789203928,F
1562827979,T
0806974109,G
0840732228,F
0891090665,B
0896218643,A
0380977729,S
0380977737,R
0849944767,T
0440364574,N
0446394009,R
038549730X,T
0446391581,A
0812967240,I
0971995907,T
1589820010,H
0679447164,W
0393007316,W
0061096644,U
0449907570,T
0804105146,M
0451155815,T
1589820681,T
0971931429,H
0520082567,R
1551665301,B
0425151425,T
0553280074,G
0064404773,B
156382485X,F
0879522593,S
0380756234,N
0446603856,T
0671885650,T
0895296950,L
0684852047,S
0671002821,D
1582430616,I
0812589041,E
0060931752,T
0966784219,B
1931395004,L
0670031895,I
0452011574,R
0451200985,F
0375505822,T
0312288549,C
0393039595,L
0571175686,E
1588720020,C
0316169226,T
0785814078,C
0345333853,M
0060937866,A
0060198125,C
0525945830,Q
0345452569,A
1582343586,H
0020404808,O
0425106403,R
0597145806,V
0061091464,T
0671015311,T
0912670096,T
0385497520,T
0312151144,D
0743203968,T
0385247958,_OTHER
0486284670,R
0375701710,T
0670825379,T
0449217191,T
1558611584,T
0151009988,M
0671788574,F
0440127793,G
0156106809,T
0765108674,P
0679724699,T
014230218X,T
0449212297,Q
0571199895,S
0141304235,T
0312863934,Y
0385468873,P
0385502532,D
0060928034,U
0140252991,T
0449002594,S
0140286527,T
0743236742,T
0399151745,T
1400060737,T
0060520612,T
0375413596,T
034543739X,U
0553268937,T
0060931957,T
0060192704,B
0890877033,L
0684835975,W
0062516981,S
0380722704,C
096533192X,T
0553114271,S
0671671499,A
0425123456,F
0312957882,E
0671725955,P
0553263226,T
0671525425,H
0671542745,W
0671507397,B
0451124685,T
0373194072,W
0373218397,S
0373441614,C
050552533X,T
0140257349,H
0060504137,T
1558530983,A
0758205600,R
0345381718,W
0843941987,J
082173718X,C
0843941812,E
0821738453,T
0821754866,T
0373290160,R
0061084751,O
0821758683,J
082172679X,T
0451405285,D
0380785617,H
0380763435,D
0380782529,A
0312955057,T
0140140859,G
0385418213,T
0060934425,T
0671631985,T
0671027409,T
0671703617,M
1566190304,C
0425179885,T
0670883514,J
0395798655,T
0812578902,T
0020442203,L
0553211374,P
0140150706,P
0553204572,A
0425175111,A
0671001132,D
0671793535,A
0671868691,B
0671793543,Y
0671025341,A
0375713484,C
0812572122,A
0762102543,P
0446601977,P
0393307050,M
0879735783,J
0812550579,S
0672320967,X
0132267055,S
0773761969,A
0452282934,B
0451203526,T
0316289124,M
0743474724,P
0679722637,T
0198607199,E
188455010X,M
0804109192,S
0812548116,N
0375414053,I
1400046610,S
0312868855,H
0812519329,P
0446526665,T
1568655819,A
0441001971,C
0684810395,P
0399143874,H
0070064601,F
0373272820,T
0373218117,B
0373711050,T
0373711409,T
0505524430,L
0373194919,H
0373227205,S
0373218419,B
0440222842,F
0373272383,L
0373194714,P
0399141227,M
3426619342,S
3426624680,W
3426273098,D
3810505153,G
3499134039,S
3518370081,M
3548359698,W
0553379011,T
8090128920,H
8476021844,E
0385319851,A
0060958308,T
0440418321,T
0316789976,T
0394525280,W
0020433115,J
0671733397,E
8423310728,F
1568360428,T
0671519816,I
042518109X,W
0061097861,H
0374513112,T
0446609145,V
0553575406,M
0380797631,L
0140161171,O
0141304677,J
0553213237,A
076791175X,F
0679433740,P
0060501170,I
0375703063,A
0345343697,O
0838434762,H
0838434754,H
0136155596,A
0553351672,D
0140065407,I
0449244288,N
1573222127,M
0451523326,J
3492224466,L
0140434003,J
0756401100,S
038079439X,E
0553577905,W
0451402391,T
0395877334,T
274670238X,C
084770176X,L
843770085X,T
0671028820,C
2070404722,P
2070415066,G
2841722171,A
2266091328,L
2845950470,P
0671447807,T
9684113404,M
8466306773,I
0679409041,Q
0316782653,T
0525945814,F
0140141499,T
0684870053,I
0060934913,K
0375814116,P
0899193625,T
0060974486,I
0679736042,T
0679441247,E
1558177604,B
0156005891,E
084395258X,T
076790592X,T
0394711920,A
0618526412,T
0380815591,T
0060652934,T
1841953814,_OTHER
1582341427,T
0375709231,O
0688174035,M
0618246967,T
0758206135,L
0763617229,T
0670032891,T
068480445X,S
1931520003,S
0595149782,R
0595193021,T
0967986508,M
0449216411,L
0330319477,T
0812504593,T
9500406977,E
1551110652,H
0552997706,T
3442449898,M
3453108191,S
3442067855,D
3442092639,I
3612275232,D
3784427855,D
0945990049,C
0898620600,W
0380807939,A
0446602736,B
0425098400,C
0449904075,O
0446360589,T
0385315090,M
0385319606,I
0385311923,L
0440500729,S
0385297661,D
0385306024,A
0345362721,P
0446802204,M
0446329894,I
0399144587,H
0671639218,B
0679420649,D
0786889551,T
0312923856,P
0786889667,T
0804111111,T
055327032X,F
0821762532,O
044023574X,A
0304328464,P
0345379020,G
0310235561,P
0743458168,S
1586606735,A
1578565677,F
0452284201,T
349223562X,T
2890199029,S
1889195162,M
1904132073,T
2070408450,S
0312972954,F
0912333634,B
0786702141,T
8433961519,L
8433961543,E
8420482137,E
8431635460,L
842330681X,L
843221521X,U
0446520837,T
0937966185,I
0141312556,T
9871138016,C
0374503486,T
2040162097,C
8401377250,T
2080700324,C
051722108X,T
0762414197,R
0854963782,T
225303939X,H
1840020830,B
0152008675,T
0762405449,E
0140386351,A
359650533X,D
067102325X,V
0812213238,A
0679729976,T
1562055089,A
0830645519,T
0933121539,B
0373078811,M
0373763808,I
8804483385,I
8171670407,I
0452261457,T
002031275X,T
1565843525,E
0140143459,L
0864693257,M
0070212147,M
0192853902,J
8483102358,C
0553580221,F
0140442758,P
0679781358,T
0664246915,S
1879960400,J
0345370430,T
0553272616,T
1570621608,W
0743427084,H
0712610847,T
1888375051,A
0385492677,T
0937938874,O
0671039016,T
0020178506,H
0020198507,W
068419001X,A
0140126422,P
0440162645,T
0450017095,L
0892965258,W
0140147381,T
0345333810,N
0930031091,T
0684814161,E
0671734601,T
0449212750,M
0425127230,S
0451155580,O
0671884298,A
0804108862,A
0399139087,S
0385304374,A
0679438793,T
0915801418,R
1559390476,B
0064471047,T
0345441184,T
0330491482,W
0767904141,C
0786868430,M
0394711556,A
2842190009,L
0060191538,P
0060191341,R
0425166929,O
0425104044,G
051509479X,W
0312958129,C
0385336314,D
1891620452,F
0590477331,M
3530267147,D
3150000254,D
3518100122,E
3518380338,K
074930152X,A
3257232543,D
0140621466,W
0345368754,F
3492260640,Z
3627001028,D
0553213164,A
0446603929,S
067189787X,W
0440431476,A
0553213180,A
0061067318,C
037316243X,P
0671745085,R
014032724X,H
0312155204,E
1569470170,O
0440177049,S
0451528670,W
074347502X,E
0590434616,T
0812551702,H
0812551699,T
0812536541,T
0446518581,B
0971181802,E
0380712040,B
0752837648,L
0743225724,G
0553562401,C
0451523873,M
0553202960,C
0060806389,S
0553235605,_OTHER
0449243141,R
0553561057,G
0816627770,S
0804461406,D
0375756981,T
068486729X,O
0440504589,M
0195014766,T
0140440372,T
0844237809,B
0394717023,T
0140442014,T
0765307596,E
0140258795,L
0965063992,O
0898799767,W
0812059379,B
0671850148,T
1559702141,D
0395893380,T
0060915765,W
0380713926,N
0425117693,R
0877799156,T
0804113491,T
0521456932,E
0020474105,E
0020154402,E
0024182001,E
0312894708,W
0393320553,T
0226899152,S
0898794080,W
0062735233,O
0596005059,_OTHER
0312422547,T
067972754X,D
0735619255,M
0596004893,P
0679727299,T
1400062535,T
0345464869,S
0393051404,M
0385500696,T
0898798736,T
0673522946,T
0312203632,S
0151003718,W
0385509472,D
0060988649,L
8479533382,_OTHER
0380725711,S
0380812959,D
0061056278,B
0380788101,B
0061056286,T
0380784157,C
0380788098,C
0671319930,S
0743471547,T
0345392477,T
0808572407,T
0595256368,R
0425076490,_OTHER
0061099708,C
0425182886,P
0425179559,H
0425174018,H
0425157474,C
0425152901,T
0425147746,W
0425141551,P
0425137937,D
0425132935,P
0425120015,P
0440200040,P
0440188415,T
0440111323,A
0440195357,T
0440109930,C
0440180953,A
0440122147,E
0440153166,L
0671853864,S
0340750626,T
0440171970,P
0440157587,M
0440129613,T
0874770475,T
0874770351,T
0917102258,A
0878570950,T
0812911520,N
0449215156,M
189400406X,W
3746618363,S
9722014862,P
345319926X,U
8401427517,C
0451143752,C
0670842702,G
0140178260,S
0375758208,A
0385302304,O
0375726241,G
344245073X,S
0515117234,W
0805062858,H
0451158237,F
0393045986,F
0452281881,E
0300029691,P
1555971148,T
0060163747,R
0553081209,W
0684195488,A
0931122422,D
0941831930,M
0446518425,S
9711004143,S
0932194400,H
0060961724,H
0140444300,L
0930377001,L
0295968265,F
0520007840,F
039330678x,E
0312062346,T
0440220424,H
0679405135,B
0060179228,I
1557982414,P
074321689X,C
0553057758,S
0060176873,L
0151255946,T
0913175145,S
0871134799,S
0060168536,T
0060149426,T
0689817851,G
044920846X,L
0935710019,A
0807059056,M
0679723285,C
1561385751,W
0140181997,F
0966691911,V
0970335555,Y
0755310721,T
0553572431,T
0812549082,M
006105691X,M
0553574604,I
0345388526,I
0345402405,U
0345389980,T
0373250207,F
0671023934,T
1571684115,S
0312254199,S
0061000124,Y
0671003941,J
0451523601,F
3453171837,T
345315195X,T
3453147464,N
0241141788,A
0802131786,T
0140075968,S
0385475195,F
3473580309,H
8420617067,E
8432245607,Y
8432207071,M
843760866X,C
8423307328,L
8420613533,H
1558745041,C
076456174X,C
0345386663,G
0060594330,C
0812550773,I
082175856X,S
044914982X,S
0671899597,S
038071616X,F
067179390X,W
0345365925,F
0373834136,O
0821772341,K
0440237025,J
0316171476,M
034538170X,G
059098182X,H
0446603600,P
0425180298,A
0312986696,B
0345459679,H
0312306326,V
0670852147,S
0345442393,P
0061031550,T
0440214904,L
0801678765,B
0451169522,M
0805054081,T
0060927216,P
0064406962,C
074324141X,K
0812504305,A
0863040403,T
0374172897,T
0140283404,B
0380730774,R
0862418879,T
340414645X,D
3442730988,T
3404144783,D
0880707550,W
068145413X,C
1569472793,M
0297829084,C
1853406201,S
0006551076,O
1903650151,S
1852278951,_OTHER
1841153656,T
0140178198,T
1877003034,W
3404144317,W
3453171861,O
3852183219,B
3852182751,P
2070408221,C
0792706250,T
0340568879,A
059040654X,M
0439557089,M
0749707933,A
0517189674,H
0810943980,B
0590248588,M
0870449559,P
043910842X,S
0749712295,T
0749726881,T
0140309586,P
0140319972,L
156565269X,S
0394839102,T
0860201244,T
0395713250,T
0894806149,T
0140554556,B
1563053179,K
039480967X,B
0394800389,F
0802769756,A
0679823859,T
0064430227,H
0030423910,C
0140502076,M
0843110406,P
0843110430,W
0881380199,H
1853261580,T
0307968219,S
0789495929,S
0920236162,P
0140183515,J
0152014209,I
0517556758,W
0881660965,T
188559304X,V
1557346755,S
155734678X,C
1557346763,A
0061093335,N
0385479670,C
0786861924,T
0890430403,H
1551669021,L
076270327X,N
0375504443,D
0618015841,W
0681403225,M
0385316518,T
0440324971,T
0140168125,B
0192829068,T
0688141862,T
0446602450,S
0804113831,T
0061092193,M
0061031321,T
0446359750,D
0380818604,T
0812577833,T
0440208513,T
0553299077,T
0061054895,S
0688177867,T
0440458226,M
0767916069,U
067943299X,T
0156027119,B
0590065912,K
0966853016,S
0689832133,C
0140179836,T
0553580906,C
0300080301,F
044022103X,O
0553581554,T
0373834349,M
0451179803,S
0451203593,_OTHER
0764223305,T
0451207505,T
1575666731,P
0396080111,S
0030476267,I
0812507436,P
0201093804,T
0671760602,D
0970634706,H
2020336480,L
2070378306,L
2020315599,U
2080671618,O
2868697984,U
2253942723,H
2253942731,H
2070425266,A
2070411729,L
202009908X,L
2842190068,N
2266023209,L
2264023481,L
0345331397,I
2070361039,Z
207072333X,A
2290328685,J
2020281341,L
2020323656,K
2253037389,L
2020094851,S
2020099136,C
2253023906,L
2290045764,E
225314911X,M
0679751750,T
0679751769,S
2070332748,H
2070369439,L
2070426777,D
2290302481,L
0744302749,G
3257231598,S
0751528498,A
3478719615,S
3596137225,V
0446341878,B
3257231180,A
3451048582,D
0962655104,T
3499228653,D
0451180232,N
1570671044,S
0905712609,S
0671625837,T
0517693119,M
0452275350,T
0395584159,M
0913028673,P
0415040132,T
0836269640,_OTHER
1551667878,N
157566383X,C
0380790718,T
0590462105,J
0590462121,T
0812022009,B
037321815X,A
0373293143,W
0373293135,F
0399145702,T
0446346802,B
0590483447,T
0590453688,S
0451137965,T
0553266578,T
0449219550,L
0425128164,T
0425107469,W
0451162145,K
042510687X,O
0451451481,S
0440198577,W
0553262645,N
044018293X,S
0590568817,S
0553573616,M
0515101230,T
0515129941,T
0590421174,H
089919463X,T
0590250841,T
0590250884,T
0743492919,G
0671039946,I
0671039954,R
0671039962,H
0807554545,T
0807534374,T
0807530816,T
0807554227,T
0807554200,T
0671002031,T
0872863077,R
0786014245,S
0312312261,A
1574090356,T
0142000221,C
014014773X,T
0060910690,Z
0812925300,W
0312953496,K
1858283434,T
0671732129,W
0140041796,S
052594544X,O
1567313590,W
0812551478,B
0765346524,W
0345434676,P
078670442X,T
0505525372,S
055357339X,A
0553209671,S
0440204208,B
0140074511,H
0843952016,T
0843951907,D
0843949783,I
0156252856,D
1858286999,T
1740591623,L
3761400853,S
0864427557,L
346202261X,A
3257217005,M
0345315227,_OTHER
0312871996,T
3455003273,A
1571741119,T
0140620443,H
0517053616,T
0517147815,L
3453217314,D
0679436154,T
345834277X,D
0140135375,D
0140442529,N
3596258758,D
3518068547,H
057106700X,A
0140422161,D
0006547834,M
1559706643,B
3442724627,D
0670822671,M
972210585X,C
9726101794,A
9722002171,A
0345410017,F
0812550927,_OTHER
1577592735,T
840138088X,N
8401380464,E
842045804X,M
8478090665,P
8401464242,O
8420617369,D
8437600014,E
0553279300,B
8423309177,E
8401413036,L
842044815X,L
0786702524,T
B0000A2U93,C
8401499720,E
8420441724,U
8420634298,E
8420725943,C
8440694539,E
0486414167,T
8432215007,E
8440609191,D
8401493129,M
8439702469,C
044100668X,T
8439704151,C
0826452450,B
0486270513,S
0553274325,J
8420634093,E
0966505301,T
0375500936,T
034910171X,C
0385494238,A
0671855670,P
3453152816,F
0333375114,R
0786861347,D
1590889754,S
0452283248,L
0945320531,U
0425105334,T
0395878063,F
0553580191,S
0440442508,J
0064400859,D
0064400565,S
0439049962,C
0590846280,T
0316358487,T
0316358452,D
0380787717,T
0006485936,D
0671558684,T
0345379365,R
0312855222,B
0345307615,S
0345315723,D
0201754703,T
0804119368,T
0375759999,D
0375758232,P
0679413138,W
0525939105,B
0375758275,T
0451172817,N
0671886665,A
0440487617,A
0590109960,W
0590462261,B
0440227194,B
044021985X,T
0440220238,K
0767915062,B
0062516930,T
0679755047,B
0374173133,H
0060509171,C
080506995X,G
0809140586,W
1583224890,_OTHER
0809141353,B
006008829X,C
0764551620,I
0553096087,T
0737003103,P
074322423X,S
1572242396,S
0312981589,R
006019328X,P
0399525009,P
0062508342,T
0140195874,O
1591860008,M
0874779685,W
0066214424,C
0345394070,L
0376017201,I
0376016760,W
0696208180,S
0060958014,C
0312271247,W
1559706848,G
0848723716,_OTHER
1564145190,_OTHER
1573228354,A
1573222410,A
1571780386,B
0764586335,T
0937750123,D
1583762027,E
2070403963,L
2070392627,L
8432210676,H
8483100231,D
8466608699,H
8483100630,D
8472239284,P
8472237966,H
0805071792,I
0316328197,S
8440662319,U
051513595X,T
044021680X,G
3453092473,N
3453861825,D
0345369416,G
0440120500,T
0743211375,F
0446606251,S
0521409047,A
0340682310,U
3518394045,F
3426615355,H
0446515078,S
185371545X,V
0446300152,F
0671720147,T
0060511508,T
0140093060,T
0671033085,E
0684852144,B
0316787035,T
156025307X,C
0452284139,D
067145711X,G
0553202308,L
0385115784,J
0684872889,T
0802139604,T
0786881194,E
0140167455,V
0385493258,I
0767906039,T
0684835290,T
0451083709,M
0871131455,R
0425178838,M
077109972X,A
0439386012,T
0451520882,P
1841953229,R
067943853X,O
0349115222,T
0060956135,T
0349111030,K
055214276X,I
0330317490,T
0552134759,T
0425130711,C
0575049804,W
0575047631,M
0575046066,G
0575044632,P
0575043636,W
1593150229,S
0671787187,W
0449213013,E
0385317093,G
0451168089,_OTHER
080411868X,W
0439420105,H
1591824095,C
5553465214,C
039914417X,T
0451163710,S
0451158261,O
0671799584,T
1860465382,L
1591822580,C
1591822572,C
1591821533,C
0765304686,M
0786927402,D
1591820073,C
1591820065,C
0812511751,T
1591820057,C
0345418263,T
1931514925,C
034528349X,D
055309128X,I
0887621112,S
0380775662,G
0399124721,W
0671876821,C
0553141279,D
067172262X,H
0764226312,A
039304808X,N
0345445899,V
9681902548,L
9681902068,E
0805052453,U
1841952338,H
0330419560,S
086611954X,T
0316877719,U
0747541140,S
0789426277,F
0345449126,T
055314300X,B
0664225985,R
0671022202,N
031217229X,B
0060925752,S
038531177X,R
0452264863,N
1582341400,A
0515085995,T
0449137465,E
0671887963,R
0452273404,T
0965011615,T
0446404144,O
8806582224,A
0689859368,T
0440416655,A
0440414857,T
042518045X,U
0959774661,T
0373259204,O
0746016646,S
0373165218,B
0425145638,F
140003065X,A
0671708376,P
0671742647,C
0671883410,D
0671567993,T
0446345628,D
0553260960,T
0553801376,O
0671733893,Q
0671700103,T
1551669447,T
0552992062,S
0684863308,R
0807508527,T
0590848860,C
037582233X,S
0842343318,I
084234330X,O
0842343326,E
0842342974,F
0842321969,F
0671021192,H
0671884492,A
0380769557,A
0671028383,G
0671011367,D
0091882087,O
0446670553,M
0671047485,S
0515136549,T
0380814811,H
0671019716,S
0671034057,N
0373708718,F
0671568841,A
0373289766,R
0553581643,C
038078615X,M
0380781468,B
0671027573,M
0312962436,N
0312960891,I
055358068X,T
0440235510,W
0451402049,M
0521815819,V
0553569910,T
0817235000,L
8408034634,L
1576751511,A
3442730368,D
3442728266,D
3442760771,E
3442729696,D
3442729726,D
3442728312,T
350251884X,T
3442429641,L
3251004557,H
344254162X,F
2253137243,L
0345456335,D
3404117476,D
0553578685,T
0451409884,D
0743418204,I
0786863137,B
0553574639,T
0060512822,T
006097673X,A
0805023232,M
0805039805,T
0805018352,T
0609608339,T
0871138433,L
0446607681,T
1584650532,T
1584650028,G
0874518849,S
0786866845,I
0375757422,E
037570745X,I
0553290533,M
0312989393,Q
0312273045,S
1853261874,R
0836218310,F
0552146986,I
0340818689,T
0140059032,L
0140011706,P
0552136492,H
0330335278,F
0743429044,A
1857027604,T
1856354008,I
0440501601,D
0952661020,S
0952661012,S
0952661004,S
0340660112,K
0718146999,H
0312135866,T
0575065613,J
0752800442,F
1559704950,A
0399141294,B
0312869932,W
0425176789,T
0553580310,T
0679450742,T
0060391626,I
0374527229,E
0312253435,T
0385337477,L
0140431217,A
0312986319,T
0312989385,T
0345409329,B
0451411056,M
0349115761,T
0446603104,S
0553803220,B
1560232234,T
1883061318,O
0060009462,N
0446519790,U
2253146889,A
0340629681,M
0552998524,E
074932483X,E
014070714X,A
0140351140,A
0340672250,G
0563384514,T
0060921161,N
0330253603,W
0553131605,T
044011585X,C
0440200563,F
0671774662,T
0425075699,D
0425080021,D
0425085325,T
042511984X,T
0060393823,L
0747517797,S
0671431285,C
0889627681,K
0771058373,D
0875423086,T
0345349350,G
156504875X,A
1853267333,C
0061093998,H
0812508645,P
0671743058,B
0048231398,T
0312932014,W
0812580346,F
0671793152,M
0671793128,C
0671641379,W
0671568051,G
0671002112,L
0671730886,C
0671794795,M
0393037606,T
0205319149,S
0316235024,T
0060952970,O
8501067113,P
0836133471,O
0743203631,G
1567187072,A
1551108496,T
0831711434,D
0067575986,P
0023193913,R
0028639227,C
0517159309,T
1557866031,F
0931432820,T
0671528068,G
0800629701,T
0966496027,T
0966496019,T
0929661192,J
0922066434,G
0517025302,R
0553344803,B
0060922583,H
1580060218,T
0195113713,H
0452010136,T
0345379586,P
0192839071,T
0192834274,S
0899548318,R
0374523835,G
0140585044,S
0899088236,E
014130751X,A
0140360468,L
0140620842,G
0590449389,M
0553278002,T
0060198508,E
0451187423,D
0671750402,W
080411109X,T
0425081818,T
0345369432,C
0451206460,H
0552999954,H
0140287248,T
0590502077,Y
1590790510,C
1401040861,A
0310239397,E
0060652926,M
0786865482,L
084235266X,B
1557739579,A
0140375988,S
0451194721,S
0679448608,A
0553089218,T
0312983379,I
140332557X,T
1562012541,G
0330491970,N
1858285453,T
0590487442,T
0590431366,M
0448060043,A
0553213172,A
0671722905,T
0397306938,A
0345316452,B
0590853112,I
0517051516,N
1562933493,T
0448343010,H
0816715602,H
0307117421,P
0060931418,T
051720679X,T
0451194772,K
0679455884,H
0142000981,C
0971212309,T
0060926198,A
0310254752,T
044990945X,A
0515136557,T
0449204324,B
0747545545,B
0965455572,F
3492236014,D
3404147952,K
3404146794,S
3257227264,D
3442429552,D
3596148731,D
349222962X,D
3492235816,D
0312320248,T
3442726735,D
340414550X,U
3404148703,M
3404145518,P
3404149122,E
3596144868,H
3426603136,S
3423026294,D
0804114498,A
3442447038,W
3442448336,R
3404144171,D
3404144694,F
3423201509,D
3442442532,F
0020198906,J
1578155584,J
0312082975,A
0451527569,T
0938317288,K
0140089225,T
0679449787,N
0385425473,W
0312959842,M
0312962940,T
0061097152,C
061812702X,V
082177364X,F
0440236878,A
0060963190,M
0743448642,W
0553801449,I
0140263144,R
0892813571,W
0811214028,C
0679757899,E
157322877X,L
0385319525,T
0590418262,S
0821769367,T
0743400399,B
0689866259,C
0671042599,T
0743427440,B
0743400453,B
0812564901,D
0812539265,D
0440221919,T
1891153889,B
068985918X,_OTHER
1569715416,B
0743418921,S
0373482078,S
0843129689,T
0399525777,W
0762401400,T
0762401397,T
0821223275,T
0785811338,C
0316287555,D
0590433512,T
0345320530,C
0486227456,I
0789709651,_OTHER
0141307129,T
0062732749,T
1586630326,T
0451458311,O
0679885447,W
0762404590,V
051512558X,T
0743211995,A
0761530878,T
0761537295,T
0761539220,T
088038204X,T
0525463062,T
076071682X,L
0515132136,T
076530127X,D
0140431314,J
0140430547,A
0312154895,A
1410755568,F
0316816531,P
0156005492,U
038533446X,L
0805059555,_OTHER
0805036504,N
0060005009,E
0786831685,S
1578562589,H
0671024183,M
0590448501,W
055305807X,T
0831746807,H
0373706863,W
0671690558,W
0140173188,T
1558172696,W
0399519483,A
1562650033,G
0451173392,T
0679434046,I
1568846444,G
0895266067,M
0380004658,B
3462030531,D
3442438799,D
3442427983,M
0553155962,B
0024080918,P
027362198X,K
1885027060,G
0312962185,T
1932173102,M
0373029578,C
0380788500,L
1558172297,A
0373035039,B
1878702033,W
0618124918,T
0380782332,K
0553124773,N
0698116844,T
0440700132,J
0553278215,P
0743428625,C
067174500X,S
0440213428,W
0671726587,W
0590679090,J
3453864050,D
3453864026,D
0440406404,T
0929923901,W
0446512478,D
0385417845,W
0385312121,T
0553273280,R
0425177351,B
0312912153,D
0671836862,C
1558020837,T
055311767X,I
0312974256,W
0449222470,J
052341899X,H
0689846223,A
0070504253,T
067088782X,W
1893010023,H
0743456246,H
0141439556,W
0679425268,S
0446608815,P
0515128546,T
0440984696,T
0515114006,P
0375401601,V
0446610348,K
0517431491,H
0300069766,M
0140178406,A
0399149392,C
0312875681,F
0385413041,B
0385308078,M
0395771382,S
0451523385,W
0140440224,T
0871138611,T
0380789663,G
0380789590,Q
0316769495,F
1551662809,J
1410784924,M
0670880728,B
0385472943,T
0679452354,S
0142003727,R
2253036218,N
2290308404,D
2738107915,L
2844121578,M
2264002190,L
2266072242,L
1591299357,R
0373703384,M
0671047515,H
0553581767,M
039308700X,H
0553801341,F
0375803017,T
0671039725,C
0345389425,V
0671660209,L
0345422317,T
0140169598,N
0671883429,R
0671722891,T
0441115985,C
0553234706,C
067153873X,T
0671869124,T
0451142934,S
068805935X,H
0786862564,M
0967575613,T
0345388623,E
0445407158,N
0553568787,C
0345382528,T
0446363049,V
0671017241,F
0849939518,S
0740738089,B
0451526929,H
0446676209,B
0747553327,T
0571134173,T
0865733279,Q
0451408462,D
0446517399,T
0440173922,T
0061031992,A
0156394014,A
0517703858,S
0425159671,T
1551668084,S
0843948892,S
038081014X,T
344244991X,C
051513306X,T
0805065393,A
0764226770,C
0425195244,B
0060527412,F
042519213X,O
0671042513,T
045121188X,A
0446611468,A
0451211790,L
0451408020,F
0373225628,P
0373289138,M
0060531231,W
037322558X,N
0312990030,T
0373224648,H
0451211839,S
0821760955,H
0425104346,D
0425198057,T
0451210646,U
0440224551,T
0843953780,E
0440237556,T
0373245025,C
0373226667,T
0373224613,R
0373226772,W
0373226144,F
037312273X,T
0373225806,L
0373225857,A
0505522837,T
0061084476,M
0061000205,F
0590251627,C
0590251619,K
0590251600,D
1551669420,M
0152017682,T
0425176614,N
1581960085,M
0515134511,T
0486277879,T
1932344268,D
0967024250,W
096702420X,A
0446520802,T
0375500995,W
0062502514,H
0425168468,P
0553227467,R
0140372628,T
0394728815,B
0963930400,S
0963930419,L
0515130966,R
1551667339,W
1571430237,T
0590474804,C
8433967304,P
0060152583,U
0374512647,R
0394743040,R
0394623266,D
0020191200,A
0394744756,K
0394552369,T
0375757147,S
0440206146,B
0060392436,A
0805064222,T
8804408863,B
0140274316,T
8401463017,E
0609607804,I
3548265383,V
0618129014,T
055338189X,L
0385509529,Y
0821601806,C
0345329732,F
1563521083,I
0449200256,P
0684195976,B
042506073X,T
0312971494,B
0451112121,K
0515123536,B
037324195X,E
0312954700,H
0671672495,S
0425092917,T
0449911519,S
0440236754,S
0881660949,G
0451173317,T
0451160525,T
0743446593,D
068483068X,G
0759695377,C
0340512660,P
0099623404,R
014035008X,L
0684813440,J
0684813459,J
0684813467,J
0553283111,Q
0030448565,D
0140188479,B
0446393681,T
067177879X,C
0553238744,H
0020199600,G
0553210211,W
0743211227,T
0553560441,T
0445405627,T
0440201705,H
0061090565,U
0553297422,T
0515117617,H
0449217264,A
0345298349,G
0345372050,Y
0809130157,L
0060919833,L
0553199803,D
0553269100,L
0345311183,C
0553236776,L
0553236687,P
155369046X,S
0312971303,C
067188414X,F
0440215404,S
1863736522,S
1869503368,L
1589610024,T
0425195473,R
0899681069,P
0802707815,A
0241894840,U
0002219476,T
1551660369,D
0778321150,D
0860207161,F
0671955543,B
0140307532,T
0140328335,T
0006716067,H
000692347X,T
085079188X,S
0723237840,F
0001360469,B
0721406173,F
0948535156,T
059070592X,P
0001374869,B
0861122488,O
0307122034,T
1852700483,W
0750009861,C
0721407501,F
1858282160,T
0140276904,J
3453868315,B
3442450020,J
3404148665,I
0967819946,F
3630869459,D
1551666650,H
1558745157,T
0802139612,D
0812966627,_OTHER
0806943238,T
096737930X,R
0531162192,S
0439083699,F
B0000633PU,T
0060739487,W
0060739495,W
0060739444,J
0743437314,T
006073941X,B
0439633737,D
0439253233,T
034536208X,F
0553230212,P
1579903002,T
